"SKU","Balance","InOrder"
"1615","39","0"

"16165","15","0"

"1618","1","0"

"16183","8","0"

"16189","54","40"

"16190","74","19"

"16194","8","1"

"16197","7","0"
"16198","6","0"

"16199","4","0"

"16207","8","2"

"16208","12","0"

"16209","3","0"

"16210","50","5"

"16212","67","60"

"16213","636","320"

"1622","7","0"

"16221","165","125"

"16222","134","129"

"16226","2576","779"

"16235","17","1"

"16236","13","1"

"16243","2","0"

"16245","45","27"

"16253","37","23"

"16267","9","0"

"16292","294","55"

"16312","98","19"

"16314","11","3"

"16315","67","0"

"16316","41","1"

"16323","6","0"

"16325","14","2"

"16326","27","7"

"16327","46","48"

"16330","34","2"

"16332","40","16"

"16333","39","18"

"16343","2","1"

"16345","3","0"

"16346","2","0"

"16348","3","0"

"16349","4","1"

"16354","7","1"

"16395","7","0"

"16396","15","3"

"16397","3","0"

"16400","5","0"

"16406","3","2"

"16408","9","7"

"16423","18","9"

"16425","6","0"

"16469","10","0"

"16473","9","0"

"16502","10","2"

"16503","11","2"

"16504","17","0"

"16508","13","0"

"16509","8","1"

"16510","1","0"

"16526","23","3"

"16527","8","0"

"16546","76","37"
"16559","3","0"

"16566","4","0"

"16567","10","4"

"16569","2","1"

"16570","4","0"

"16572","6","0"

"16607","168","25"

"16609","56","11"

"16611","49","32"

"16635","17","6"

"1668","2","0"

"16725","13","2"

"16726","19","6"

"16727","22","5"

"16732","17","4"

"16733","14","0"

"16745","25","4"

"16749","4","0"

"16752","41","6"

"16757","44","3"

"16776","2","0"

"16777","2","0"

"1678","5","0"

"16787","6","0"

"1679","10","0"

"16803","59","5"

"16805","3","1"

"1681","5","0"

"16854","2","0"

"16889","1","0"

"16890","5","0"

"16891","5","0"

"16892","5","0"

"16893","17","4"

"16894","10","3"

"16895","4","1"

"16897","7","0"

"16900","21","4"

"16901","8","0"

"16922","57","0"

"16923","33","0"

"16957","2","0"

"1696","1","0"

"16976","12","0"

"16984","23","7"

"17","16","0"

